File,Map,Number of Agents,Cost,time,init_msgs,CT_Node_msgs,Goal Msgs,total_msgs,expanded_nodes,roundRobinIteration
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,1,76,2.309788227,1,0,1,2,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,1,76,2.310853004,1,0,1,2,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,1,76,2.330797911,1,0,1,2,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,1,76,2.333788157,1,0,1,2,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,1,76,2.348748446,1,0,1,2,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,1,76,2.361715555,1,0,1,2,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,1,76,2.363642693,1,0,1,2,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,1,76,2.363676548,1,0,1,2,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,1,76,2.365670443,1,0,1,2,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,1,76,2.370625257,1,0,1,2,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,1,76,2.371653557,1,0,1,2,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,1,76,2.373651266,1,0,1,2,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,1,76,2.374612093,1,0,1,2,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,1,76,2.376645565,1,0,1,2,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,1,76,2.381628036,1,0,1,2,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,1,76,2.384582281,1,0,1,2,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,1,76,2.384620428,1,0,1,2,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,1,76,2.391601324,1,0,1,2,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,1,76,2.400577307,1,0,1,2,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,1,76,2.407557487,1,0,1,2,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,1,76,2.41055131,1,0,1,2,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,1,76,2.414540052,1,0,1,2,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,1,76,2.414540529,1,0,1,2,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,1,76,2.422518253,1,0,1,2,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,1,76,2.425549269,1,0,1,2,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,1,76,2.42953372,1,0,1,2,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,1,76,2.434487581,1,0,1,2,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,1,76,2.436481714,1,0,1,2,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,1,76,2.437478542,1,0,1,2,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,1,76,2.437513351,1,0,1,2,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,1,76,2.443461418,1,0,1,2,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,1,76,2.444463015,1,0,1,2,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,1,76,2.448481321,1,0,1,2,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,1,76,2.449442863,1,0,1,2,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,1,76,2.450443983,1,0,1,2,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,1,76,2.450444698,1,0,1,2,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,1,76,2.462380648,1,0,1,2,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,1,76,2.464404106,1,0,1,2,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,1,76,2.464408159,1,0,1,2,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,1,76,2.469394207,1,0,1,2,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,1,76,2.479370594,1,0,1,2,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,1,76,2.481392145,1,0,1,2,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,1,76,2.484317064,1,0,1,2,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,1,76,2.489308357,1,0,1,2,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,1,76,2.497279406,1,0,1,2,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,1,76,2.499313593,1,0,1,2,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,1,76,2.514273405,1,0,1,2,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,1,76,2.533222437,1,0,1,2,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,1,76,2.574113131,1,0,1,2,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,1,76,2.586118698,1,0,1,2,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,2,168,4.431147099,4,0,2,6,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,2,168,4.440160275,4,0,2,6,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,2,168,4.448101044,4,0,2,6,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,2,168,4.457076073,4,0,2,6,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,2,168,4.466014862,4,0,2,6,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,2,168,4.466051579,4,0,2,6,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,2,168,4.472037077,4,0,2,6,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,2,168,4.480014563,4,0,2,6,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,2,168,4.489990711,4,0,2,6,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,2,168,4.496007919,4,0,2,6,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,2,168,4.500958204,4,0,2,6,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,2,168,4.501000404,4,0,2,6,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,2,168,4.501993895,4,0,2,6,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,2,168,4.502916098,4,0,2,6,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,2,168,4.511896849,4,0,2,6,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,2,168,4.513924599,4,0,2,6,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,2,168,4.516884327,4,0,2,6,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,2,168,4.516954184,4,0,2,6,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,2,168,4.517874718,4,0,2,6,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,2,168,4.52688694,4,0,2,6,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,2,168,4.528883934,4,0,2,6,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,2,168,4.52892828,4,0,2,6,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,2,168,4.530835867,4,0,2,6,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,2,168,4.531839848,4,0,2,6,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,2,168,4.532875538,4,0,2,6,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,2,168,4.534867525,4,0,2,6,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,2,168,4.539891243,4,0,2,6,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,2,168,4.54381299,4,0,2,6,0,2
Tests_files/den312d.map-1.scen,Maps_files/den312d.map,2,168,4.5438447,4,0,2,6,0,2
